p,za,theta,n_ext,seed,T,A,R
0.034,114.3,45.0,1.0,13,0.016867,0.00765,0.975483
0.034,114.3,46.0,1.0,13,0.015323,0.007128,0.977548
0.034,114.3,47.0,1.0,13,0.013832,0.006727,0.979442
0.034,114.3,48.0,1.0,13,0.012554,0.00642,0.981025
0.034,114.3,49.0,1.0,13,0.011716,0.006158,0.982126
0.034,114.3,50.0,1.0,13,0.011004,0.005916,0.98308
0.034,114.3,51.0,1.0,13,0.010489,0.005693,0.983818
0.034,114.3,52.0,1.0,13,0.009959,0.005494,0.984547
0.034,114.3,53.0,1.0,13,0.009524,0.005313,0.985163
0.034,114.3,54.0,1.0,13,0.009044,0.005141,0.985814
0.034,114.3,55.0,1.0,13,0.008688,0.004987,0.986325
0.034,114.3,56.0,1.0,13,0.008331,0.004829,0.98684
0.034,114.3,57.0,1.0,13,0.007945,0.00466,0.987395
0.034,114.3,58.0,1.0,13,0.007624,0.004497,0.987878
0.034,114.3,59.0,1.0,13,0.007174,0.004324,0.988502
0.034,114.3,60.0,1.0,13,0.006858,0.004166,0.988976
0.034,114.3,61.0,1.0,13,0.006714,0.004033,0.989252
0.034,114.3,62.0,1.0,13,0.006462,0.003913,0.989625
0.034,114.3,63.0,1.0,13,0.006243,0.003803,0.989954
0.034,114.3,64.0,1.0,13,0.006046,0.003668,0.990286
0.034,114.3,65.0,1.0,13,0.005726,0.003496,0.990778
0.034,114.3,66.0,1.0,13,0.005374,0.003298,0.991328
0.034,114.3,67.0,1.0,13,0.00512,0.003111,0.991769
0.034,114.3,68.0,1.0,13,0.004949,0.002981,0.99207
0.034,114.3,69.0,1.0,13,0.004794,0.002911,0.992295
0.034,114.3,70.0,1.0,13,0.004708,0.002869,0.992423
0.034,114.3,71.0,1.0,13,0.00458,0.002792,0.992628
0.034,114.3,72.0,1.0,13,0.004246,0.002594,0.99316
0.034,114.3,73.0,1.0,13,0.003743,0.002316,0.993941
0.034,114.3,74.0,1.0,13,0.003294,0.002053,0.994653
0.034,114.3,75.0,1.0,13,0.003048,0.001899,0.995052
0.034,114.3,76.0,1.0,13,0.00308,0.001908,0.995012
0.034,114.3,77.0,1.0,13,0.003252,0.002006,0.994742
0.034,114.3,78.0,1.0,13,0.003189,0.001973,0.994838
0.034,114.3,79.0,1.0,13,0.002716,0.001689,0.995595
0.034,114.3,80.0,1.0,13,0.002125,0.001323,0.996552
0.034,114.3,81.0,1.0,13,0.001641,0.001022,0.997337
0.034,114.3,82.0,1.0,13,0.001374,0.000856,0.99777
0.034,114.3,83.0,1.0,13,0.001527,0.000951,0.997522
0.034,114.3,84.0,1.0,13,0.001902,0.001183,0.996915
0.034,114.3,66.0,1.33,13,0.042953,0.015386,0.941661
0.034,114.3,67.0,1.33,13,0.028128,0.013608,0.958263
0.034,114.3,68.0,1.33,13,0.024455,0.012517,0.963028
0.034,114.3,69.0,1.33,13,0.022922,0.011906,0.965172
0.034,114.3,70.0,1.33,13,0.022316,0.011564,0.96612
0.034,114.3,71.0,1.33,13,0.022443,0.011337,0.96622
0.034,114.3,72.0,1.33,13,0.021085,0.010486,0.968429
0.034,114.3,73.0,1.33,13,0.017678,0.00914,0.973183
0.034,114.3,74.0,1.33,13,0.014634,0.007855,0.97751
0.034,114.3,75.0,1.33,13,0.013243,0.007157,0.9796
0.034,114.3,76.0,1.33,13,0.01372,0.007376,0.978904
0.034,114.3,77.0,1.33,13,0.015349,0.00824,0.97641
0.034,114.3,78.0,1.33,13,0.015944,0.008613,0.975443
0.034,114.3,79.0,1.33,13,0.013198,0.0072,0.979601
0.034,114.3,80.0,1.33,13,0.0093,0.005074,0.985627
0.034,114.3,81.0,1.33,13,0.006381,0.003486,0.990133
0.034,114.3,82.0,1.33,13,0.005132,0.002808,0.99206
0.034,114.3,83.0,1.33,13,0.006589,0.003612,0.989799
0.034,114.3,84.0,1.33,13,0.010762,0.005911,0.983327
0.206,52.9,45.0,1.0,13,0.080386,0.047371,0.872242
0.206,52.9,46.0,1.0,13,0.073992,0.046446,0.879562
0.206,52.9,47.0,1.0,13,0.068943,0.045742,0.885315
0.206,52.9,48.0,1.0,13,0.065664,0.045095,0.889242
0.206,52.9,49.0,1.0,13,0.063449,0.0446,0.891952
0.206,52.9,50.0,1.0,13,0.06139,0.043997,0.894612
0.206,52.9,51.0,1.0,13,0.060196,0.043537,0.896267
0.206,52.9,52.0,1.0,13,0.057435,0.042996,0.899569
0.206,52.9,53.0,1.0,13,0.056323,0.042605,0.901071
0.206,52.9,54.0,1.0,13,0.054425,0.042025,0.90355
0.206,52.9,55.0,1.0,13,0.052811,0.041674,0.905515
0.206,52.9,56.0,1.0,13,0.05104,0.041097,0.907863
0.206,52.9,57.0,1.0,13,0.050183,0.040562,0.909255
0.206,52.9,58.0,1.0,13,0.051944,0.040054,0.908002
0.206,52.9,59.0,1.0,13,0.050443,0.039333,0.910224
0.206,52.9,60.0,1.0,13,0.048931,0.038604,0.912465
0.206,52.9,61.0,1.0,13,0.047929,0.03812,0.91395
0.206,52.9,62.0,1.0,13,0.046677,0.03765,0.915674
0.206,52.9,63.0,1.0,13,0.045941,0.037297,0.916762
0.206,52.9,64.0,1.0,13,0.045043,0.036807,0.91815
0.206,52.9,65.0,1.0,13,0.042643,0.035823,0.921533
0.206,52.9,66.0,1.0,13,0.039859,0.034461,0.925681
0.206,52.9,67.0,1.0,13,0.03794,0.033044,0.929015
0.206,52.9,68.0,1.0,13,0.03644,0.031897,0.931663
0.206,52.9,69.0,1.0,13,0.035649,0.03151,0.932841
0.206,52.9,70.0,1.0,13,0.035541,0.031698,0.932761
0.206,52.9,71.0,1.0,13,0.035387,0.031721,0.932892
0.206,52.9,72.0,1.0,13,0.033611,0.030345,0.936045
0.206,52.9,73.0,1.0,13,0.029828,0.027421,0.942752
0.206,52.9,74.0,1.0,13,0.026097,0.024242,0.949661
0.206,52.9,75.0,1.0,13,0.023999,0.022282,0.95372
0.206,52.9,76.0,1.0,13,0.024475,0.022451,0.953074
0.206,52.9,77.0,1.0,13,0.026859,0.024397,0.948744
0.206,52.9,78.0,1.0,13,0.027799,0.025275,0.946926
0.206,52.9,79.0,1.0,13,0.024265,0.022236,0.9535
0.206,52.9,80.0,1.0,13,0.018648,0.017195,0.964157
0.206,52.9,81.0,1.0,13,0.01387,0.012835,0.973295
0.206,52.9,82.0,1.0,13,0.011197,0.010386,0.978417
0.206,52.9,83.0,1.0,13,0.012551,0.01166,0.975789
0.206,52.9,84.0,1.0,13,0.017756,0.016511,0.965733
0.206,52.9,66.0,1.33,13,0.076605,0.057409,0.865986
0.206,52.9,67.0,1.33,13,0.091058,0.063772,0.84517
0.206,52.9,68.0,1.33,13,0.09498,0.068783,0.836237
0.206,52.9,69.0,1.33,13,0.09649,0.072716,0.830794
0.206,52.9,70.0,1.33,13,0.100682,0.077225,0.822093
0.206,52.9,71.0,1.33,13,0.10562,0.083377,0.811002
0.206,52.9,72.0,1.33,13,0.112389,0.091111,0.7965
0.206,52.9,73.0,1.33,13,0.111663,0.089407,0.79893
0.206,52.9,74.0,1.33,13,0.108816,0.088503,0.802681
0.206,52.9,75.0,1.33,13,0.104293,0.085024,0.810683
0.206,52.9,76.0,1.33,13,0.107904,0.08665,0.805446
0.206,52.9,77.0,1.33,13,0.126389,0.100172,0.77344
0.206,52.9,78.0,1.33,13,0.157046,0.124924,0.718029
0.206,52.9,79.0,1.33,13,0.170474,0.140095,0.689431
0.206,52.9,80.0,1.33,13,0.149547,0.122614,0.727839
0.206,52.9,81.0,1.33,13,0.100995,0.082924,0.816081
0.206,52.9,82.0,1.33,13,0.069366,0.057172,0.873462
0.206,52.9,83.0,1.33,13,0.076012,0.062877,0.861111
0.206,52.9,84.0,1.33,13,0.165096,0.136737,0.698167
0.528,7.7,45.0,1.0,13,0.008605,0.051038,0.940357
0.528,7.7,46.0,1.0,13,0.010011,0.060338,0.929651
0.528,7.7,47.0,1.0,13,0.008874,0.056026,0.9351
0.528,7.7,48.0,1.0,13,0.009083,0.06111,0.929807
0.528,7.7,49.0,1.0,13,0.008995,0.0604,0.930606
0.528,7.7,50.0,1.0,13,0.008689,0.063053,0.928259
0.528,7.7,51.0,1.0,13,0.008526,0.06384,0.927634
0.528,7.7,52.0,1.0,13,0.0097,0.077397,0.912902
0.528,7.7,53.0,1.0,13,0.008765,0.069452,0.921783
0.528,7.7,54.0,1.0,13,0.010189,0.085285,0.904526
0.528,7.7,55.0,1.0,13,0.00914,0.074822,0.916038
0.528,7.7,56.0,1.0,13,0.009234,0.077964,0.912802
0.528,7.7,57.0,1.0,13,0.011697,0.094095,0.894208
0.528,7.7,58.0,1.0,13,0.009621,0.084478,0.905901
0.528,7.7,59.0,1.0,13,0.012548,0.118457,0.868995
0.528,7.7,60.0,1.0,13,0.012217,0.117256,0.870527
0.528,7.7,61.0,1.0,13,0.009959,0.092453,0.897588
0.528,7.7,62.0,1.0,13,0.009858,0.095262,0.89488
0.528,7.7,63.0,1.0,13,0.009868,0.099609,0.890522
0.528,7.7,64.0,1.0,13,0.01007,0.100685,0.889245
0.528,7.7,65.0,1.0,13,0.011516,0.116693,0.871791
0.528,7.7,66.0,1.0,13,0.011545,0.11544,0.873015
0.528,7.7,67.0,1.0,13,0.010803,0.113757,0.87544
0.528,7.7,68.0,1.0,13,0.010663,0.119319,0.870018
0.528,7.7,69.0,1.0,13,0.013649,0.156951,0.8294
0.528,7.7,70.0,1.0,13,0.013601,0.157553,0.828846
0.528,7.7,71.0,1.0,13,0.013731,0.137689,0.84858
0.528,7.7,72.0,1.0,13,0.013668,0.13926,0.847072
0.528,7.7,73.0,1.0,13,0.013928,0.150074,0.835998
0.528,7.7,74.0,1.0,13,0.014173,0.155793,0.830035
0.528,7.7,75.0,1.0,13,0.015078,0.158944,0.825978
0.528,7.7,76.0,1.0,13,0.013679,0.146388,0.839933
0.528,7.7,77.0,1.0,13,0.013542,0.146652,0.839805
0.528,7.7,78.0,1.0,13,0.01468,0.160412,0.824908
0.528,7.7,79.0,1.0,13,0.016886,0.185279,0.797835
0.528,7.7,80.0,1.0,13,0.01947,0.213118,0.767412
0.528,7.7,81.0,1.0,13,0.020022,0.221558,0.75842
0.528,7.7,82.0,1.0,13,0.016121,0.181421,0.802459
0.528,7.7,83.0,1.0,13,0.011211,0.127136,0.861653
0.528,7.7,84.0,1.0,13,0.010713,0.121152,0.868135
0.528,7.7,66.0,1.33,13,0.009092,0.042448,0.94846
0.528,7.7,67.0,1.33,13,0.006589,0.040979,0.952432
0.528,7.7,68.0,1.33,13,0.006377,0.041923,0.9517
0.528,7.7,69.0,1.33,13,0.006093,0.044572,0.949335
0.528,7.7,70.0,1.33,13,0.006127,0.044916,0.948956
0.528,7.7,71.0,1.33,13,0.006275,0.046332,0.947393
0.528,7.7,72.0,1.33,13,0.006561,0.049747,0.943692
0.528,7.7,73.0,1.33,13,0.007497,0.059742,0.932762
0.528,7.7,74.0,1.33,13,0.006681,0.055429,0.93789
0.528,7.7,75.0,1.33,13,0.006523,0.055009,0.938468
0.528,7.7,76.0,1.33,13,0.006312,0.055209,0.938479
0.528,7.7,77.0,1.33,13,0.006065,0.054388,0.939547
0.528,7.7,78.0,1.33,13,0.006195,0.056585,0.93722
0.528,7.7,79.0,1.33,13,0.006802,0.059459,0.933739
0.528,7.7,80.0,1.33,13,0.006258,0.050665,0.943077
0.528,7.7,81.0,1.33,13,0.005211,0.041366,0.953423
0.528,7.7,82.0,1.33,13,0.004669,0.037163,0.958169
0.528,7.7,83.0,1.33,13,0.004565,0.036508,0.958927
0.528,7.7,84.0,1.33,13,0.004156,0.033447,0.962397
0.034,114.3,45.0,1.0,29,0.012852,0.007573,0.979575
0.034,114.3,46.0,1.0,29,0.011602,0.006994,0.981404
0.034,114.3,47.0,1.0,29,0.010658,0.0066,0.982743
0.034,114.3,48.0,1.0,29,0.009849,0.006287,0.983864
0.034,114.3,49.0,1.0,29,0.009221,0.006027,0.984752
0.034,114.3,50.0,1.0,29,0.008647,0.00578,0.985573
0.034,114.3,51.0,1.0,29,0.008287,0.00557,0.986143
0.034,114.3,52.0,1.0,29,0.007784,0.005366,0.98685
0.034,114.3,53.0,1.0,29,0.007467,0.005197,0.987336
0.034,114.3,54.0,1.0,29,0.006779,0.005008,0.988213
0.034,114.3,55.0,1.0,29,0.006455,0.004863,0.988682
0.034,114.3,56.0,1.0,29,0.006143,0.004692,0.989164
0.034,114.3,57.0,1.0,29,0.005766,0.004521,0.989713
0.034,114.3,58.0,1.0,29,0.005517,0.004356,0.990127
0.034,114.3,59.0,1.0,29,0.005187,0.004186,0.990627
0.034,114.3,60.0,1.0,29,0.004962,0.004025,0.991013
0.034,114.3,61.0,1.0,29,0.004903,0.00389,0.991207
0.034,114.3,62.0,1.0,29,0.004576,0.003771,0.991654
0.034,114.3,63.0,1.0,29,0.004423,0.003666,0.991911
0.034,114.3,64.0,1.0,29,0.00439,0.003537,0.992072
0.034,114.3,65.0,1.0,29,0.004138,0.003372,0.99249
0.034,114.3,66.0,1.0,29,0.003853,0.003184,0.992963
0.034,114.3,67.0,1.0,29,0.003647,0.003008,0.993345
0.034,114.3,68.0,1.0,29,0.003495,0.002878,0.993627
0.034,114.3,69.0,1.0,29,0.003369,0.002809,0.993821
0.034,114.3,70.0,1.0,29,0.003303,0.002771,0.993925
0.034,114.3,71.0,1.0,29,0.003199,0.00269,0.994111
0.034,114.3,72.0,1.0,29,0.002968,0.002502,0.99453
0.034,114.3,73.0,1.0,29,0.002634,0.002236,0.99513
0.034,114.3,74.0,1.0,29,0.002322,0.001983,0.995695
0.034,114.3,75.0,1.0,29,0.002141,0.001836,0.996023
0.034,114.3,76.0,1.0,29,0.002152,0.001842,0.996006
0.034,114.3,77.0,1.0,29,0.002273,0.001938,0.995789
0.034,114.3,78.0,1.0,29,0.002222,0.001906,0.995872
0.034,114.3,79.0,1.0,29,0.001876,0.00163,0.996494
0.034,114.3,80.0,1.0,29,0.001458,0.001276,0.997266
0.034,114.3,81.0,1.0,29,0.001123,0.000987,0.99789
0.034,114.3,82.0,1.0,29,0.000941,0.000827,0.998232
0.034,114.3,83.0,1.0,29,0.001047,0.000918,0.998035
0.034,114.3,84.0,1.0,29,0.001303,0.001137,0.99756
0.034,114.3,66.0,1.33,29,0.042508,0.014983,0.942509
0.034,114.3,67.0,1.33,29,0.026491,0.012878,0.96063
0.034,114.3,68.0,1.33,29,0.022781,0.011663,0.965556
0.034,114.3,69.0,1.33,29,0.021135,0.010956,0.967909
0.034,114.3,70.0,1.33,29,0.020258,0.010566,0.969176
0.034,114.3,71.0,1.33,29,0.019601,0.010199,0.9702
0.034,114.3,72.0,1.33,29,0.018048,0.009429,0.972524
0.034,114.3,73.0,1.33,29,0.015533,0.008229,0.976238
0.034,114.3,74.0,1.33,29,0.013195,0.007065,0.97974
0.034,114.3,75.0,1.33,29,0.012006,0.006438,0.981556
0.034,114.3,76.0,1.33,29,0.012372,0.006612,0.981016
0.034,114.3,77.0,1.33,29,0.013844,0.007388,0.978768
0.034,114.3,78.0,1.33,29,0.014376,0.007704,0.97792
0.034,114.3,79.0,1.33,29,0.011812,0.0064,0.981788
0.034,114.3,80.0,1.33,29,0.008322,0.004506,0.987172
0.034,114.3,81.0,1.33,29,0.005728,0.003103,0.991169
0.034,114.3,82.0,1.33,29,0.004622,0.002507,0.992871
0.034,114.3,83.0,1.33,29,0.005939,0.003227,0.990834
0.034,114.3,84.0,1.33,29,0.009609,0.00523,0.985161
0.206,52.9,45.0,1.0,29,0.063173,0.049261,0.887567
0.206,52.9,46.0,1.0,29,0.058722,0.04844,0.892838
0.206,52.9,47.0,1.0,29,0.054804,0.047886,0.897311
0.206,52.9,48.0,1.0,29,0.051799,0.047171,0.90103
0.206,52.9,49.0,1.0,29,0.049706,0.046682,0.903612
0.206,52.9,50.0,1.0,29,0.047645,0.046177,0.906178
0.206,52.9,51.0,1.0,29,0.047416,0.045693,0.906891
0.206,52.9,52.0,1.0,29,0.045874,0.045229,0.908897
0.206,52.9,53.0,1.0,29,0.044823,0.044892,0.910286
0.206,52.9,54.0,1.0,29,0.043696,0.044327,0.911977
0.206,52.9,55.0,1.0,29,0.043654,0.043846,0.9125
0.206,52.9,56.0,1.0,29,0.043592,0.04318,0.913228
0.206,52.9,57.0,1.0,29,0.042094,0.042596,0.91531
0.206,52.9,58.0,1.0,29,0.041659,0.041978,0.916363
0.206,52.9,59.0,1.0,29,0.040672,0.041126,0.918202
0.206,52.9,60.0,1.0,29,0.039458,0.040397,0.920145
0.206,52.9,61.0,1.0,29,0.038553,0.039719,0.921728
0.206,52.9,62.0,1.0,29,0.036756,0.039247,0.923997
0.206,52.9,63.0,1.0,29,0.036155,0.038921,0.924923
0.206,52.9,64.0,1.0,29,0.036181,0.038401,0.925417
0.206,52.9,65.0,1.0,29,0.035166,0.037445,0.927389
0.206,52.9,66.0,1.0,29,0.033615,0.035996,0.930389
0.206,52.9,67.0,1.0,29,0.032335,0.034464,0.933201
0.206,52.9,68.0,1.0,29,0.031251,0.033315,0.935435
0.206,52.9,69.0,1.0,29,0.030299,0.032903,0.936798
0.206,52.9,70.0,1.0,29,0.030167,0.033033,0.936799
0.206,52.9,71.0,1.0,29,0.030114,0.033127,0.936759
0.206,52.9,72.0,1.0,29,0.02876,0.031671,0.939569
0.206,52.9,73.0,1.0,29,0.025625,0.028643,0.945732
0.206,52.9,74.0,1.0,29,0.022467,0.02531,0.952223
0.206,52.9,75.0,1.0,29,0.020547,0.023243,0.95621
0.206,52.9,76.0,1.0,29,0.020713,0.023493,0.955794
0.206,52.9,77.0,1.0,29,0.022447,0.025573,0.95198
0.206,52.9,78.0,1.0,29,0.023004,0.026512,0.950485
0.206,52.9,79.0,1.0,29,0.019866,0.023327,0.956807
0.206,52.9,80.0,1.0,29,0.015097,0.018007,0.966896
0.206,52.9,81.0,1.0,29,0.011158,0.013424,0.975418
0.206,52.9,82.0,1.0,29,0.008987,0.010854,0.980159
0.206,52.9,83.0,1.0,29,0.010081,0.01219,0.977729
0.206,52.9,84.0,1.0,29,0.014323,0.01731,0.968367
0.206,52.9,66.0,1.33,29,0.075325,0.057159,0.867516
0.206,52.9,67.0,1.33,29,0.089588,0.064078,0.846334
0.206,52.9,68.0,1.33,29,0.093887,0.07002,0.836093
0.206,52.9,69.0,1.33,29,0.095565,0.074476,0.829958
0.206,52.9,70.0,1.33,29,0.099057,0.079569,0.821375
0.206,52.9,71.0,1.33,29,0.104834,0.086567,0.808599
0.206,52.9,72.0,1.33,29,0.113947,0.097007,0.789047
0.206,52.9,73.0,1.33,29,0.110428,0.093676,0.795895
0.206,52.9,74.0,1.33,29,0.107233,0.093488,0.799279
0.206,52.9,75.0,1.33,29,0.102046,0.089965,0.807989
0.206,52.9,76.0,1.33,29,0.10595,0.091531,0.802519
0.206,52.9,77.0,1.33,29,0.122546,0.107692,0.769762
0.206,52.9,78.0,1.33,29,0.151096,0.133977,0.714927
0.206,52.9,79.0,1.33,29,0.172081,0.153231,0.674688
0.206,52.9,80.0,1.33,29,0.152128,0.137436,0.710436
0.206,52.9,81.0,1.33,29,0.103562,0.094152,0.802285
0.206,52.9,82.0,1.33,29,0.070978,0.064677,0.864345
0.206,52.9,83.0,1.33,29,0.076874,0.070172,0.852954
